"Connection
Origin",,"Connection
Termination",,"Data
Type","Article
Reported
Value","Article
Selected
Value?","Selected
Value
Date","Site Size
Relative
To Region","Site
Extension","Extended
Regions","Pathway
Tracer","Male or
Female","Primary
Collator","Additional
Collator",Reference Article,"Regional
Nomenclature
Applied","Additional
Annotations"
one,TTd,one,VISp,retro,absent,yes,03 2016,small-med,no,,WGA-HRP,male,"Bota, M.","Swanson, L.W.",Miller & Vogt (1984) J. Comp. Neurol. 226:184-202.,other,Bota et al. (2015).
one,TTd,two,VISp,retro,absent,yes,06 2016,small-med,no,,WGA-HRP,unreported,"Swanson, L.W.",,Dreher et al. (1985) Aust. N.Z. J. Ophthal. 13:251-261.,other,"See p. 257 & Figs. 6, 7."
one,TTd,one,VISam,retro,absent,yes,03 2016,small-med,no,,WGA-HRP,male,"Bota, M.","Swanson, L.W.",Miller & Vogt (1984) J. Comp. Neurol. 226:184-202.,other,"Bota et al. (2015); see Fig. 10, pp. 190-196."
one,TTd,two,VISam,antero,absent,yes,03 2016,large,small,AOA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTv reported.
one,TTd,one,VISpm,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 12, experiment R1296 and p. 282; no other projections observed."
one,TTd,two,VISpm,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,NLOT3,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 12, experiment R1296 and p. 282; no other projections observed."
one,TTd,two,NLOT3,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,BMAa,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 12, experiment R1296 and p. 282; no other projections observed."
one,TTd,two,BMAa,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,BMAp,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 12, experiment R1296 and p. 282; no other projections observed."
one,TTd,two,BMAp,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,BLAa,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 12, experiment R1296 and p. 282; no other projections observed."
one,TTd,two,BLAa,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,BLAp,antero,absent,yes,03 2016,large,small,AOA,WGA-HRP,male,"Bota, M.","Swanson, L.W.",Cassell & Wright (1986) Brain Res. Bull. 17:321-333.,other,Bota et al. (2015); pp. 327-328.
one,TTd,two,BLAp,antero,absent,yes,03 2016,large,small,AOA,WGA-HRP,male,"Swanson, L.W.",,Cassell & Wright (1986) Brain Res. Bull. 17:321-333.,other,See pp. 327-328.
one,TTd,one,LA,antero,absent,yes,03 2016,large,small,AOA,WGA-HRP,male,"Bota, M.","Swanson, L.W.",Cassell & Wright (1986) Brain Res. Bull. 17:321-333.,other,Bota et al. (2015); pp. 327-328.
one,TTd,two,LA,antero,absent,yes,03 2016,large,small,AOA,WGA-HRP,male,"Swanson, L.W.",,Cassell & Wright (1986) Brain Res. Bull. 17:321-333.,other,See pp. 327-328.
one,TTd,one,PA,retro,absent,yes,03 2016,small-med,no,,Fluoro-Gold,male,"Bota, M.","Swanson, L.W.",Canteras et al. (1992) J. Comp. Neurol. 324:143-179.,Swanson BM1 (1992),Bota et al. (2015).
one,TTd,two,PA,retro,absent,yes,03 2016,small-med,no,,Fluoro-Gold,male,"Swanson, L.W.",,Canteras et al. (1992) J. Comp. Neurol. 324:143-179.,Swanson BM1 (1992),See p. 153.
one,TTd,one,EPv,,no article,yes,03 2016,,,,,,"Bota, M.","Swanson, L.W.",,,Bota et al. (2015).
one,TTd,two,EPv,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,EPd,,no article,yes,03 2016,,,,,,"Bota, M.","Swanson, L.W.",,,Bota et al. (2015).
one,TTd,two,EPd,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,TTd,one,CLA,retro,absent,yes,03 2016,small-med,no,,Fluoro-Gold,male,"Bota, M.","Swanson, L.W.",Zhang et al. (2001) J. Neurosci. 21:3674-3687.,Paxinos & Watson (1998),Bota et al. (2015).
one,TTd,two,CLA,retro,absent,yes,03 2016,small-med,no,,Fluoro-Gold,male,"Swanson, L.W.",,Zhang et al. (2001) J. Neurosci. 21:3674-3687.,Paxinos & Watson (1998),
one,TTd,one,6b,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Fig. 12, experiment R1296 and p. 282; no other projections observed."
one,TTd,two,6b,antero,absent,yes,03 2016,large,small,ILA,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,No commissural projections of TTd reported.
one,PIR,one,MOB,antero,mod-strong,yes,03 2016,medium,no,,PHAL,male,"Bota, M.","Swanson, L.W.",Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,Bota et al. (2015); see Fig. 11A.
one,PIR,two,MOB,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Figs. 5, 6."
one,PIR,one,AOB,antero,weak,yes,03 2016,small-med,no,,BDA-10K,unreported,"Bota, M.","Swanson, L.W.",Mohedano-Moriano et al. (2012) Front. Neuroanat. 6(19):1-10.,Paxinos & Watson (2007),Bota et al. (2015).
one,PIR,two,AOB,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Figs. 5, 6."
one,PIR,one,AOA,antero,strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,
one,PIR,two,AOA,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5.
one,PIR,one,TTv,antero,strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015); see Fig. 6, compare with Swanson (2004) Atlas Level 9."
one,PIR,two,TTv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5.
one,PIR,one,TTd,antero,strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015); see Fig. 6, compare with Swanson (2004) Atlas Level 9."
one,PIR,two,TTd,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5.
one,PIR,one,PIR,,identity,yes,05 2017,,,,,,"Swanson, L.W.",,,,
one,PIR,two,PIR,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5.
one,PIR,one,COAa,antero,strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 6.
one,PIR,two,COAa,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5 & pp. 275-276.
one,PIR,one,COApm,antero,moderate,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 6.
one,PIR,two,COApm,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5 & pp. 275-276.
one,PIR,one,COApl,antero,moderate,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 5F, about Swanson (2004) Atlas Level 32. Confirms Krettek & Price (1977) J. Comp. Neurol. 172:723-752, Fig. 22(1)."
one,PIR,two,COApl,antero,weak-mod,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 5F, about Swanson (2004) Atlas Level 32."
one,PIR,one,NLOT,antero,moderate,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Figs. 5, 6."
one,PIR,two,NLOT,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,See Fig. 5E.
one,PIR,one,PAA,antero,strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 6F, about Swanson (2004) Atlas Level 31."
one,PIR,two,PAA,antero,moderate,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 5F, about Swanson (2004) Atlas Levels 31, 32."
left,PIR,left,TR,retro,strong,yes,03 2016,medium,small,"BLAp, PIR, ENTl",Fluoro-Gold,female,"Bota, M.","Swanson, L.W.",Santiago & Shammah-Lagnado (2005) J. Comp. Neurol. 489:349-371.,Paxinos & Watson (1986),Bota et al. (2015); see Table 1.
left,PIR,right,TR,retro,weak,yes,03 2016,medium,small,"BLAp, PIR, ENTl",Fluoro-Gold,female,"Swanson, L.W.",,Santiago & Shammah-Lagnado (2005) J. Comp. Neurol. 489:349-371.,Paxinos & Watson (1986),See Table 1.
one,PIR,one,IG,antero,weak-mod,yes,03 2016,medium,no,,PHAL,male,"Bota, M.","Swanson, L.W.",Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,"Bota et al. (2015); see Fig. 11D where ventral extension of IG (Swanson, 2004) is labeled TTd. Confirms anterograde ARGM study of Price (1973, p. 104)."
one,PIR,two,IG,antero,absent,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,Such a connection not noted.
one,PIR,one,FC,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,FC,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,DG,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,DG,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,CA3,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015). No projections reported outside Figs. 5, 6."
one,PIR,two,CA3,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,CA2,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,CA2,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,CA1v,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015). No projections reported outside Figs. 5, 6."
one,PIR,two,CA1v,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,CA1d,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015). No projections reported outside Figs. 5, 6."
one,PIR,two,CA1d,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,SUBv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015). No projections reported outside Figs. 5, 6."
one,PIR,two,SUBv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,SUBd,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,SUBd,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,PAR,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,Bota et al. (2015) See p. 711.
one,PIR,two,PAR,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,PRE,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,PRE,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,POST,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,POST,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,ENTm,retro,v.strong,yes,03 2016,small-med,no,,Fast Blue,male,"Swanson, L.W.",,Burwell & Amaral (1998) J. Comp. Neurol. 398:179-205.,other,See Table 2.
one,PIR,two,ENTm,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Fig. 5G, p. 276."
one,PIR,one,ENTl,retro,v.strong,yes,03 2016,small-med,no,,Fast Blue,male,"Swanson, L.W.",,Burwell & Amaral (1998) J. Comp. Neurol. 398:179-205.,other,See Table 2.
one,PIR,two,ENTl,antero,moderate,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See Fig. 5G, p. 276."
one,PIR,one,ILA,antero,moderate,yes,03 2016,medium,no,,PHAL,male,"Bota, M.","Swanson, L.W.",Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,Bota et al. (2015).
one,PIR,two,ILA,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,PL,retro,absent,yes,03 2016,small-med,no,,CTB (anterograde),male,"Bota, M.","Swanson, L.W.",Datiche & Cattarelli (1996) Brain Res. Bull. 41:391-398.,other,"Bota et al. (2015); Figs. 4, 5."
one,PIR,two,PL,retro,absent,yes,03 2016,small-med,no,,CTB (anterograde),male,"Swanson, L.W.",,Datiche & Cattarelli (1996) Brain Res. Bull. 41:391-398.,other,"Figs. 4, 5."
one,PIR,one,ACAv,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,ACAv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,ACAd,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"Bota et al. (2015). No projections reported outside Figs. 5, 6."
one,PIR,two,ACAd,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,RSPv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,RSPv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,RSPv.a,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,RSPv.a,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,RSPv.b/c,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,RSPv.b/c,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,RSPd,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,RSPd,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,RSPagl,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,RSPagl,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,AIv,antero,strong,yes,03 2016,small-med,no,,CTB (anterograde),male,"Bota, M.","Swanson, L.W.",Datiche & Cattarelli (1996) Brain Res. Bull. 41:391-398.,other,Bota et al. (2015).
one,PIR,two,AIv,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,AId,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"See pp. 269-270, Figs. 5, 6."
one,PIR,two,AId,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,AIp,antero,mod-strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,Bota et al. (2015).
one,PIR,two,AIp,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,GU,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,GU,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,VISC,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,"No projections reported outside Figs. 5, 6."
one,PIR,two,VISC,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,ORBv,antero,weak,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,
one,PIR,two,ORBv,antero,absent,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,
one,PIR,one,ORBvl,antero,strong,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,See Fig. 11C.
one,PIR,two,ORBvl,antero,absent,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,
one,PIR,one,ORBm,antero,weak,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,See Fig. 11C.
one,PIR,two,ORBm,antero,absent,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,
one,PIR,one,ORBl,antero,moderate,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,
one,PIR,two,ORBl,antero,absent,yes,03 2016,medium,no,,PHAL,male,"Swanson, L.W.",,Ekstrand et al. (2001) J. Comp. Neurol. 434:289-307.,other,
one,PIR,one,MOp,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,MOp,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
one,PIR,one,MOs,antero,absent,yes,03 2016,small,no,,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Krettek & Price (1977) J. Comp. Neurol. 172:687-722.,other,Bota et al. (2015). See p. 711.
one,PIR,two,MOs,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
right,PIR,right,SSp,retro,v.weak,yes,10 2016,small-med,v.small,SSs,Diamidino Yellow,unreported,"Swanson, L.W.",,Paperna & Malach (1991) J. Comp. Neurol. 308:432-456.,other,"See Fig. 13C,D."
one,PIR,two,SSp,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
right,PIR,right,SSs,retro,v.weak,yes,10 2016,medium,v.small,SSp,Diamidino Yellow,unreported,"Swanson, L.W.",,Paperna & Malach (1991) J. Comp. Neurol. 308:432-456.,other,See Fig. 16B.
one,PIR,two,SSs,antero,absent,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Luskin & Price (1983) J. Comp. Neurol. 216:264-291.,other,All observed commissural projections illustrated in Fig. 5.
